"File Number","Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"11965091","MARILIN ADULT LIVING FACILITY, INC","MIAMI","Miami-Dade","6","0","1","$500.00","3","0","0","1","0","2","1","None","4","Games/Cards|Gardening|Music Programs|Social Events/Outings","NR","NR"
"11965093","CHATSWORTH AT PGA NATIONAL","PALM BCH GDNS","Palm Beach","48","0","0","$0.00","2","0","0","2","0","0","1","Direct 24hr","4","Arts and Crafts|Exercise Classes|Games/Cards|Theater and Movies","NR","NR"
"11965100","QUALITY CARE ASSISTED LIVING FACILITY, INC.","CORAL SPRINGS","Broward","6","0","2","$800.00","7","0","0","5","0","2","1","3rd Party 24hr","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Theater and Movies","NR","NR"
"11965104","EAST GABLES RETIREMENT CENTER","MIAMI","Miami-Dade","14","3","1","$4,000.00","18","0","1","17","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"11965105","CATALEYA HOME CARE INC","MIAMI","Miami-Dade","6","0","3","$5,250.00","9","0","1","7","0","1","1","3rd Party Part-Time","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs","2","Occupational Therapy|Physical Therapy"
"11965107","TAMPA GARDENS SENIOR LIVING","TAMPA","Hillsborough","125","4","2","$500.00","20","0","0","20","0","0","1","Direct 24hr","12","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga|Other","6","Audiology|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11965117","JMB LOVING CARE, LLC","TARPON SPRINGS","Pinellas","10","1","1","$400.00","14","0","0","12","0","2","1","Direct 24hr","7","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"11965118","FOR YOU I WILL, LLC","PORT ORANGE","Volusia","6","0","0","$0.00","14","0","0","13","0","1","1","3rd Party Part-Time","5","Arts and Crafts|Cooking Classes|Games/Cards|Music Programs|Social Events/Outings","4","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11965121","COLLIERS AT NAPLES","NAPLES","Collier","112","1","1","$500.00","6","0","0","5","0","1","2","Direct 24hr|Direct Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies","3","Memory Care|Occupational Therapy|Pet Therapy"
"11965123","THE COUNTRY COTTAGE LLC","CANTONMENT","Escambia","14","0","0","$0.00","2","0","0","2","0","0","1","3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings","NR","NR"
"11965129","BERRYHILL MANOR RETIREMENT CENTER","MILTON","Santa Rosa","65","0","0","$0.00","0","0","0","0","0","0","NR","NR","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Physical Therapy"
"11965130","THE SPRINGS LADY LAKE ASSISTED LIVING FACILITY AND REHAB","LADY LAKE","Lake","80","1","0","$0.00","17","0","0","17","0","0","1","Direct 24hr","9","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"11965135","SODALIS MILTON","MILTON","Santa Rosa","44","4","0","$0.00","5","0","0","4","1","0","1","Direct Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
